X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.526982768999972,43.465466246,56,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5269827686699,43.4654662462515,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.527042623999989,43.465466494000026,57,POST AND RING,City of Waterloo,Perimetre Institute,31 CAROLINE ST N,2,-80.5270426241698,43.4654664938378,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.528474206999988,43.466880227000019,58,CORRAL,City of Waterloo,Lions Lagoon,50 YOUNG ST W,6,-80.5284742069361,43.4668802270121,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.511536317999969,43.473795930000023,59,RING RACK,City of Waterloo,Moses Springer Community Centre,150 LINCOLN RD,11,-80.5115363181843,43.4737959301128,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.511597667999979,43.473814775000022,60,RING RACK,City of Waterloo,Moses Springer Community Centre,150 LINCOLN RD,11,-80.5115976678284,43.4738147752944,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.51156303099998,43.473809862000024,61,RING RACK,City of Waterloo,Moses Springer Community Centre,150 LINCOLN RD,11,-80.5115630310854,43.4738098622578,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520627952999973,43.462560509000014,62,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206279533864,43.4625605091564,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521170513999948,43.461998607000027,63,POST AND RING,Private,HSBC Bank - William St E,136 KING ST S,2,-80.5211705142433,43.4619986072032,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.51305186899998,43.489864699,64,UMBRELLA RACK,City of Waterloo,Waterloo Service Centre,265 LEXINGTON CRT,8,-80.5130518694544,43.4898646992147,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.598014322999973,43.469639938000029,65,GROUND RACK,Private,Abraham Erb Public School,710 LAURELWOOD DR,20,-80.5980143232347,43.4696399384423,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.598040805999972,43.469669176000025,66,GROUND RACK,Private,Abraham Erb Public School,710 LAURELWOOD DR,20,-80.5980408056451,43.4696691758728,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.598068787999978,43.469695899000016,67,GROUND RACK,Private,Abraham Erb Public School,710 LAURELWOOD DR,20,-80.5980687883315,43.4696958991572,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.533147047999989,43.455097144,68,RACK,Private,Empire Public School,83 EMPIRE ST,8,-80.5331470484684,43.455097143651,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.50739626799998,43.506911403,69,RACK,Private,Lester B. Pearson Public School,520 CHESAPEAKE DR,10,-80.5073962679936,43.5069114027211,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.507340306999936,43.50693376000001,70,RACK,Private,Lester B. Pearson Public School,520 CHESAPEAKE DR,10,-80.5073403072918,43.5069337596343,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.507289045999983,43.506960733000028,71,RACK,Private,Lester B. Pearson Public School,520 CHESAPEAKE DR,10,-80.5072890457999,43.5069607325503,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
